word,variant,kind,gated,passed,score,min_score,groups,pattern,mode,amplitude,period,changed_frames,changed_visible_points,value_min,value_max,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
跳,self_recomputed,positive,True,True,100.0,95.0,"pose,left_hand,right_hand,face",none,offset,0.0,1,0,0,0.0,0.0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,smooth_global_z_offset_0.08,positive,True,True,79.28804787401181,70.0,"pose,left_hand,right_hand,face",smooth,offset,0.08,1,16,945,-0.07878462024097665,0.07878462024097664,semantic_action_window,score_valid,score_valid,action_window_net,used,整人 z 坐标随时间平滑呼吸 8%，模拟 webcam/Holistic 深度零点漂移。
跳,smooth_global_z_scale_0.20,positive,True,True,95.3171042495494,70.0,"pose,left_hand,right_hand,face",smooth,scale,0.2,1,16,945,-0.19696155060244164,0.1969615506024416,semantic_action_window,score_valid,score_valid,action_window_net,used,整人 z 动态随时间在 0.8-1.2 倍之间平滑变化。
跳,smooth_hand_z_offset_0.06,positive,True,True,99.26048021838312,70.0,"left_hand,right_hand",smooth,offset,0.06,1,16,609,-0.059088465180732484,0.05908846518073248,semantic_action_window,score_valid,score_valid,action_window_net,used,双手 z 坐标随时间平滑漂移，模拟手离镜头距离估计轻微波动。
跳,smooth_hand_z_scale_0.20,positive,True,True,95.3171042495494,70.0,"left_hand,right_hand",smooth,scale,0.2,1,16,609,-0.19696155060244164,0.1969615506024416,semantic_action_window,score_valid,score_valid,action_window_net,used,双手局部 z 动态随时间平滑缩放，并重建手形特征。
跳,sparse_hand_z_offset_0.06_every_5f,positive,True,True,99.13799483377662,70.0,"left_hand,right_hand",sparse,offset,0.06,5,4,147,-0.06,0.06,semantic_action_window,score_valid,score_valid,action_window_net,used,少量帧出现手部 z 跳动，模拟 tracker 深度闪断。
跳,right_hand_smooth_z_offset_0.05,positive,True,True,99.63927491028326,70.0,right_hand,smooth,offset,0.05,1,16,315,-0.04924038765061041,0.0492403876506104,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心手随时间轻微 z 漂移，验证单手深度抖动不压低语义分。
跳,strong_global_z_offset_0.25_diagnostic,diagnostic,False,True,78.27572386155957,,"pose,left_hand,right_hand,face",smooth,offset,0.25,1,16,945,-0.24620193825305203,0.246201938253052,semantic_action_window,score_valid,score_valid,action_window_net,used,强整人 z 零点漂移不作为正常网页要求，只记录诊断边界。
跳,strong_hand_z_scale_0.55_diagnostic,diagnostic,False,True,87.97641464600889,,"left_hand,right_hand",smooth,scale,0.55,1,16,609,-0.5416442641567145,0.5416442641567144,semantic_action_window,score_valid,score_valid,action_window_net,used,强手部 z 动态缩放会改变局部手形，只记录诊断边界。
跳,strong_sparse_hand_z_offset_0.18_every_4f_diagnostic,diagnostic,False,True,96.71348230090241,,"left_hand,right_hand",sparse,offset,0.18,4,4,126,-0.18,0.18,semantic_action_window,score_valid,score_valid,action_window_net,used,强稀疏手部 z 跳点只记录诊断边界。
