word,variant,kind,gated,passed,score,min_score,xy_shear,yx_shear,z_to_x,z_to_y,local_hands_only,changed_visible_points,selected_visible_points,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,diagnostic_shear_x_from_y_0.30,diagnostic,False,True,80.15592808099179,,0.3,0.0,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强 x<-y 剪切只记录诊断边界，不代表正常网页采集。
花,diagnostic_shear_y_from_x_0.30,diagnostic,False,True,80.2248066341001,,0.0,0.3,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强 y<-x 剪切只记录诊断边界。
花,diagnostic_z_to_x_0.80,diagnostic,False,True,78.28806198691541,,0.0,0.0,0.8,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强 z-to-x 透视偏移只记录诊断边界。
花,diagnostic_combo_shear_0.18_zx_0.60,diagnostic,False,True,79.11907029345124,,0.18,0.0,0.6,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,较强剪切和透视组合只记录边界，不作为正常通过要求。
跳,self_recomputed,positive,True,True,100.0,95.0,0.0,0.0,0.0,0.0,False,0,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation 特征，应保持近满分。
跳,global_shear_x_from_y_0.08,positive,True,True,96.66542558741534,70.0,0.08,0.0,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,轻微 x<-y 剪切，模拟摄像头水平斜拍。
跳,global_shear_x_from_y_neg0.08,positive,True,True,96.6314633079854,70.0,-0.08,0.0,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,反向轻微 x<-y 剪切，覆盖相反斜拍方向。
跳,global_shear_y_from_x_0.08,positive,True,True,96.33869422321185,70.0,0.0,0.08,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,轻微 y<-x 剪切，模拟摄像头垂直方向斜拍。
跳,global_shear_y_from_x_neg0.08,positive,True,True,96.16398748931452,70.0,0.0,-0.08,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,反向轻微 y<-x 剪切，覆盖相反斜拍方向。
跳,global_shear_x_from_y_0.15,positive,True,True,93.87200779945793,70.0,0.15,0.0,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,中度 x<-y 剪切，仍应保持可评分。
跳,global_shear_y_from_x_0.15,positive,True,True,93.39361271933687,70.0,0.0,0.15,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,中度 y<-x 剪切，仍应保持可评分。
跳,perspective_z_to_x_0.35,positive,True,True,88.57302689571512,70.0,0.0,0.0,0.35,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,x 坐标随 z 轻中度漂移，模拟非正面视角的透视偏移。
跳,perspective_z_to_x_neg0.35,positive,True,True,89.01920589481895,70.0,0.0,0.0,-0.35,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,反向 x-z 透视偏移，覆盖另一侧斜拍。
跳,perspective_z_to_y_0.35,positive,True,True,90.57568040407013,70.0,0.0,0.0,0.0,0.35,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,y 坐标随 z 轻中度漂移，模拟上下方向非正面视角。
跳,combo_shear_0.08_zx_0.25,positive,True,True,92.94544199162186,70.0,0.08,0.0,0.25,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,轻微 image-plane 剪切叠加 z-to-x 透视偏移。
跳,local_hand_shear_x_from_y_0.12,positive,True,True,95.05506575822274,70.0,0.12,0.0,0.0,0.0,True,693,693,semantic_action_window,score_valid,score_valid,action_window_net,used,只在双手局部出现轻中度剪切，模拟手掌相对镜头有斜角。
跳,diagnostic_shear_x_from_y_0.30,diagnostic,False,True,88.20272136336895,,0.3,0.0,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,强 x<-y 剪切只记录诊断边界，不代表正常网页采集。
跳,diagnostic_shear_y_from_x_0.30,diagnostic,False,True,87.75855099419866,,0.0,0.3,0.0,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,action_window_net,used,强 y<-x 剪切只记录诊断边界。
跳,diagnostic_z_to_x_0.80,diagnostic,False,True,78.38915210759093,,0.0,0.0,0.8,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,强 z-to-x 透视偏移只记录诊断边界。
跳,diagnostic_combo_shear_0.18_zx_0.60,diagnostic,False,True,77.70477519502577,,0.18,0.0,0.6,0.0,False,1092,1092,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,较强剪切和透视组合只记录边界，不作为正常通过要求。
