word,variant,kind,passed,score,min_score,degrees,dtw_distance,normalized_distance,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,camera_roll_neg35deg_diagnostic,diagnostic,True,80.97875845278745,,-35.0,0.02867959597177481,0.03059257951942728,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,负 35 度整体倾斜已偏离正常网页取景，只记录诊断边界。
花,camera_roll_pos45deg_diagnostic,diagnostic,True,80.84888529484755,,45.0,0.028679596079552793,0.03082531617069577,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,45 度极端倾斜只作为诊断，不代表正常采集。
花,camera_roll_neg45deg_diagnostic,diagnostic,True,80.84888537271512,,-45.0,0.0286795959661934,0.03082531603104266,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,负 45 度极端倾斜只作为诊断，不代表正常采集。
跳,self_recomputed,positive,True,100.0,95.0,0.0,0.0,0.0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建派生特征，应保持近满分。
跳,camera_roll_pos5deg,positive,True,97.33909706292285,75.0,5.0,0.006460939382060233,0.006838197532623756,semantic_action_window,score_valid,score_valid,action_window_net,used,摄像头或身体轻微顺时针倾斜 5 度。
跳,camera_roll_neg5deg,positive,True,97.31910589393836,75.0,-5.0,0.006512344082594897,0.006891046315471247,semantic_action_window,score_valid,score_valid,action_window_net,used,摄像头或身体轻微逆时针倾斜 5 度。
跳,camera_roll_pos10deg,positive,True,94.77257505882417,75.0,10.0,0.012860152475074825,0.013612567378682019,semantic_action_window,score_valid,score_valid,action_window_net,used,摄像头或身体中等顺时针倾斜 10 度。
跳,camera_roll_neg10deg,positive,True,94.69513386589426,75.0,-10.0,0.013064745242581695,0.013822902518064225,semantic_action_window,score_valid,score_valid,action_window_net,used,摄像头或身体中等逆时针倾斜 10 度。
跳,camera_roll_pos15deg,positive,True,92.30033127456765,75.0,15.0,0.019188258984615236,0.02031312221029812,semantic_action_window,score_valid,score_valid,action_window_net,used,较明显顺时针倾斜 15 度，仍应保持可评分。
跳,camera_roll_neg15deg,positive,True,92.13221356805678,75.0,-15.0,0.019644549920277577,0.020782211177681247,semantic_action_window,score_valid,score_valid,action_window_net,used,较明显逆时针倾斜 15 度，仍应保持可评分。
跳,camera_roll_pos20deg,positive,True,89.92166764257891,75.0,20.0,0.025436958413912955,0.02693097709185888,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,明显顺时针倾斜 20 度，作为正向鲁棒边界。
跳,camera_roll_neg20deg,positive,True,89.63430714248449,75.0,-20.0,0.026238105609399813,0.027754571179349756,semantic_action_window,score_valid,score_valid,action_window_net,used,明显逆时针倾斜 20 度，作为正向鲁棒边界。
跳,camera_roll_pos35deg_diagnostic,diagnostic,True,83.33305327663484,,35.0,0.043639063080923135,0.04621523660537288,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,35 度整体倾斜已偏离正常网页取景，只记录诊断边界。
跳,camera_roll_neg35deg_diagnostic,diagnostic,True,82.56705172975666,,-35.0,0.04595065840064166,0.04859145126242488,semantic_action_window,score_valid,score_valid,action_window_net,used,负 35 度整体倾斜已偏离正常网页取景，只记录诊断边界。
跳,camera_roll_pos45deg_diagnostic,diagnostic,True,76.58574921595,,45.0,0.055267470527518986,0.06461414669718456,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,45 度极端倾斜只作为诊断，不代表正常采集。
跳,camera_roll_neg45deg_diagnostic,diagnostic,True,75.13959845403754,,-45.0,0.058871489116933816,0.06850568498540192,semantic_action_window,score_valid,score_valid,action_window_net,used,负 45 度极端倾斜只作为诊断，不代表正常采集。
