word,variant,kind,gated,passed,score,min_score,max_score,offset,y_amplitude_factor,x_from_y,reverse_y,relation_jitter,changed_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,flower_relation_reverse_y_diagnostic,diagnostic,False,True,79.25005919299556,,,"0.0,0.0,0.0",,0.0,True,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花不是双手关系核心词，反向关系轨迹只记录诊断边界。
跳,self_recomputed,positive,True,True,100.0,95.0,,"0.0,0.0,0.0",,0.0,False,0.0,0,semantic_action_window,score_valid,score_valid,action_window_net,used,剥离基础组后重建 relation/motion 特征，应保持近满分。
跳,right_relation_offset_up_0.15,positive,True,True,90.20185878206581,70.0,,"0.0,-0.15,0.0",,0.0,False,0.0,17,semantic_action_window,score_valid,score_valid,action_window_net,used,右手整体相对左手略高，模拟用户起手/镜头位置差异。
跳,right_relation_offset_down_0.15,positive,True,True,90.89151352264156,70.0,,"0.0,0.15,0.0",,0.0,False,0.0,17,semantic_action_window,score_valid,score_valid,action_window_net,used,右手整体相对左手略低，模拟手势位置差异。
跳,right_relation_offset_x_0.15,positive,True,True,70.46895751687171,70.0,,"0.15,0.0,0.0",,0.0,False,0.0,17,semantic_action_window,score_valid,score_valid,action_window_net,used,右手整体横向间距略变，核心动作和手形仍保留。
跳,right_relation_y_amplitude_0.70,positive,True,True,96.54899653724762,70.0,,"0.0,0.0,0.0",0.7,0.0,False,0.0,17,semantic_action_window,score_valid,score_valid,action_window_net,used,右手相对运动高度缩小到 70%，仍应保持可评分。
跳,right_relation_y_amplitude_1.35,positive,True,True,95.96300333807297,70.0,,"0.0,0.0,0.0",1.35,0.0,False,0.0,17,semantic_action_window,score_valid,score_valid,action_window_net,used,右手相对运动高度放大到 135%，仍应保持可评分。
跳,right_relation_x_from_y_0.35,positive,True,True,79.78419609468496,70.0,,"0.0,0.0,0.0",,0.35,False,0.0,17,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,右手跳跃轨迹带轻微横向分量，垂直关系仍清晰。
跳,right_relation_jitter_0.035,positive,True,True,76.55388747085595,70.0,,"0.0,0.0,0.0",,0.0,False,0.035,17,semantic_action_window,score_valid,score_valid,action_window_net,used,右手相对左手的逐帧关系有小幅抖动，模拟网页关键点不稳。
跳,right_relation_y_amplitude_1.75_diagnostic,diagnostic,False,True,74.45845079205625,,,"0.0,0.0,0.0",1.75,0.0,False,0.0,17,semantic_action_window,score_valid,score_valid,action_window_net,used,更大相对运动高度只记录边界，不作为通过条件。
跳,jump_relation_y_amplitude_0.45_negative,negative,True,True,93.9603750556102,,45.0,"0.0,0.0,0.0",0.45,0.0,False,0.0,17,semantic_action_window,semantic_mismatch,relation_jump_amplitude_too_small,action_window_net,relation_jump_amplitude_too_small,跳跃相对高度过小，应低分或进入语义失败解释。
跳,jump_relation_x_from_y_0.90_negative,negative,True,True,63.77591504940396,,45.0,"0.0,0.0,0.0",,0.9,False,0.0,17,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,跳跃关系过度水平化，应低分或进入语义失败解释。
跳,jump_relation_reverse_y_negative,negative,True,True,81.30158949546147,,45.0,"0.0,0.0,0.0",,0.0,True,0.0,17,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,右手相对左手的跳跃方向反向，应低分或进入语义失败解释。
