word,variant,kind,passed,score,threshold,group,pattern,operation,collision_frame_count,collision_participant_count_min,collision_participant_count_max,max_collision_cluster_size,collision_handling_rate,minimum_remaining_point_count,capture_quality,capture_reason,exception
跳,right_hand_landmarks_camera_640x480_z1024_raw_quantized,positive,True,74.38467738335818,70.0,right_hand_landmarks,full_visible,quantize_camera_640x480_z1024,1,0,2,2,1.0,19,score_valid,score_valid,
跳,right_hand_landmarks_camera_320x240_z512_raw_quantized,positive,True,84.66026661368558,70.0,right_hand_landmarks,full_visible,quantize_camera_320x240_z512,9,0,2,2,1.0,19,score_valid,score_valid,
跳,right_hand_landmarks_xyz_1_256_raw_quantized,positive,True,74.59996354434253,70.0,right_hand_landmarks,full_visible,quantize_xyz_1_256,10,0,6,2,1.0,15,score_valid,score_valid,
跳,left_hand_landmarks_tip_to_dip_all_sparse_preserved,positive,True,97.50265429342045,75.0,left_hand_landmarks,sparse_visible,tip_to_dip_all,2,10,10,2,1.0,11,score_valid,score_valid,
跳,left_hand_landmarks_tip_to_dip_all_full_noncore_preserved,positive,True,85.0,75.0,left_hand_landmarks,full_visible,tip_to_dip_all,16,10,10,2,1.0,11,score_valid,score_valid,
跳,left_hand_landmarks_dip_tip_to_pip_all_sparse_preserved,positive,True,96.84503925271912,75.0,left_hand_landmarks,sparse_visible,dip_tip_to_pip_all,2,15,15,3,1.0,6,score_valid,score_valid,
跳,left_hand_landmarks_dip_tip_to_pip_all_full_noncore_preserved,positive,True,85.0,75.0,left_hand_landmarks,full_visible,dip_tip_to_pip_all,16,15,15,3,1.0,6,score_valid,score_valid,
跳,left_hand_landmarks_distal_to_mcp_all_sparse_preserved,positive,True,88.90262709303171,75.0,left_hand_landmarks,sparse_visible,distal_to_mcp_all,2,20,20,4,1.0,1,score_valid,score_valid,
跳,left_hand_landmarks_distal_to_mcp_all_full_noncore_preserved,positive,False,6.762490201732685,75.0,left_hand_landmarks,full_visible,distal_to_mcp_all,16,20,20,4,1.0,1,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_index_middle_to_index_mcp_sparse_preserved,positive,True,89.9217103702456,75.0,left_hand_landmarks,sparse_visible,index_middle_to_index_mcp,2,8,8,8,1.0,13,score_valid,score_valid,
跳,left_hand_landmarks_index_middle_to_index_mcp_full_noncore_preserved,positive,False,9.306544140704041,75.0,left_hand_landmarks,full_visible,index_middle_to_index_mcp,16,8,8,8,1.0,13,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_all_tips_to_wrist_full_local_mask,handling,True,8.709992230219605,,left_hand_landmarks,full_visible,all_tips_to_wrist,16,6,6,6,1.0,15,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_all_mcps_to_wrist_full_local_mask,handling,True,8.684891486323563,,left_hand_landmarks,full_visible,all_mcps_to_wrist,16,6,6,6,1.0,15,semantic_mismatch,missing_relation_delta,
跳,left_hand_landmarks_single_index_tip_to_dip_sparse_preserved,positive,True,99.43648843630811,75.0,left_hand_landmarks,sparse_visible,single_index_tip_to_dip,2,2,2,2,1.0,19,score_valid,score_valid,
跳,left_hand_landmarks_camera_640x480_z1024_raw_quantized,positive,True,70.61354645250911,70.0,left_hand_landmarks,full_visible,quantize_camera_640x480_z1024,2,0,2,2,1.0,19,score_valid,score_valid,
跳,left_hand_landmarks_camera_320x240_z512_raw_quantized,positive,True,81.51700093386708,70.0,left_hand_landmarks,full_visible,quantize_camera_320x240_z512,12,0,11,3,1.0,10,score_valid,score_valid,
跳,left_hand_landmarks_xyz_1_256_raw_quantized,positive,False,9.278382371106096,70.0,left_hand_landmarks,full_visible,quantize_xyz_1_256,15,0,13,3,1.0,8,semantic_mismatch,missing_relation_delta,
